SK_MATRICULA;NM_LOCALIDADE;NM_CATEGORIATARIFARIA;NM_SITUACAO_IMOVEL;NN_MORADORES;NN_MORADORES_ANALISE;ST_PISCINA;LAT_GEO;LONG_GEO;X;Y;CD_SETOR_ORIGINAL;CD_SETOR;NN_MEDIA_CONSUMO;NN_CONSUMO_DIARIO;TP_COMPORTAMENTO;VL_RENDA_MEDIA_RESPONSAVEL;NN_MEDIA_MORADORES_IBGE
18B5B8A1BB83797B384D15B304E67EDB9E7B9E9ABA287B842BB706A5A5DC27CE;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.941062151181304;-38.361583582742185;569248.3440123075;8569295.576134376;292740805090121;S039;0.0;0.0;AMBIENTALISTA;1138.01;2.6
1A4ABA01EEA074A630E0893225B7E9AF2F22E3226E16BF475A9AFA3D954FB32A;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.945538835172876;-38.36304243544616;569088.8650683012;8568800.885398455;292740805090203;S063;0.0;0.0;AMBIENTALISTA;1285.44;2.6
1B0E958791E92E019991D3DE5864DD4D45B6A5DAA5861CD5093639469ED303CB;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.946399969851685;-38.3616763323873;569236.8099848616;8568705.281341441;292740805090027;S009;12.833333333333334;210.38251366120218;PERDULARIO;1852.17;2.2
1BF52ADE1839ECE443EC5A34A621A37BFFE30C79873973CCB2E147E5A6B472CB;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.943492677558536;-38.3624898554625;569149.3680282261;8569027.024638755;292740805090318;S093;6.5;71.0382513661202;AMBIENTALISTA;5134.75;2.9
1C375D48AAA0D2905F7E175CDF3EA572DA1E47B95D983938F45964DD0CC22173;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.939336218290329;-38.36018237070245;569400.8150263558;8569486.070748813;292740805090082;S028;0.0;0.0;AMBIENTALISTA;1286.26;2.5
1C8E14F2B8D41D15BBCD5258CD4791F54BF4E1F3FD63E5B5E95A414AF3CB8ACC;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.943231135181108;-38.36234537024271;569165.1127243248;8569055.910055827;292740805090318;S093;1.0;10.92896174863388;AMBIENTALISTA;5134.75;2.9
1C9BE42F76D62822A089BB2336884C6C83D997076E424BE4C7702FE895D65E8F;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.942792321272655;-38.362222787931984;569178.5304767786;8569104.406193983;292740805090318;S093;0.0;0.0;AMBIENTALISTA;5134.75;2.9
1D427232698B0C5710E9C1A2BCE7C3745D6A3D1391051DF68EC88AAA87460667;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.943023179925014;-38.36237365138664;569162.1023395936;8569078.915881254;292740805090318;S093;0.0;0.0;AMBIENTALISTA;5134.75;2.9
1DFDE0902C8B79D305D1F5AF7A064D36ABDED3E1B9D415A4C05B481B62037C25;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.940907612271024;-38.36126609534938;569282.8254912035;8569312.580933478;292740805090121;S039;4.916666666666667;53.73406193078324;AMBIENTALISTA;1138.01;2.6
1E09827092D56A6E88774CFBD10734966C9B1061DB185922D7901F37EC9341A1;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.94157226638897;-38.35978872738935;569442.8961979027;8569238.67494894;292740805090173;S053;8.416666666666666;137.97814207650273;PERDULARIO;1392.24;2.4
1E6AA1B62C6931FE13E5B15B3EA60440A3A655AD3E940A65F63BDC5358FE5DC6;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.944630566185372;-38.36357787803158;569031.035016302;8568901.477226986;292740805090203;S063;0.0;0.0;AMBIENTALISTA;1285.44;2.6
1EE2EC7044606B3409C60C56F797C81EC0A45CC804B4941B280A75DECBCEC846;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.945289624635429;-38.36194719307287;569207.7359075793;8568828.149944007;292740805090200;S062;8.083333333333334;88.3424408014572;AMBIENTALISTA;1021.96;2.6
1F199E7ED488035F6E24D53E85B9011AEEA3A63F20CFE37F486514A378F9A4BC;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.939702535882926;-38.35991759828883;569429.4345410788;8569445.487129778;292740805090105;S033;6.166666666666667;67.39526411657559;AMBIENTALISTA;1357.46;2.6
